State	Avg ° F	Avg ° C	Rank
Alabama	46.5	8.1	7
Alaska	2.6	-16.3	50
Arizona	43.6	6.4	10
Arkansas	41.5	5.3	12
California	46.2	7.9	8
Colorado	25.8	-3.4	35
Connecticut	28.5	-1.9	30
Delaware	36.1	2.3	16
Florida	59.4	15.2	2
Georgia	47.8	8.8	5
Hawaii	67.4	19.7	1
Idaho	25.4	-3.7	37
Illinois	28.3	-2.1	32
Indiana	29.4	-1.4	29
Iowa	21.7	-5.7	39
Kansas	31.9	-0.1	26
Kentucky	35.9	2.2	18
Louisiana	50.9	10.5	3
Maine	16.8	-8.4	47
Maryland	34.7	1.5	19
Massachusetts	27.4	-2.6	34
Michigan	21.7	-5.7	39
Minnesota	12.4	-10.9	48
Mississippi	46.7	8.2	6
Missouri	32.3	0.2	24
